query_id,query_len,max_raw_score,max_norm_score_max_len_frac,max_norm_score_align_len_frac,max_similarity_percent
rand_1,19,9.0,0.47368421052631576,0.47368421052631576,47.368421052631575
rand_2,50,23.0,0.40350877192982454,0.40350877192982454,40.35087719298245
rand_3,30,14.0,0.4666666666666667,0.4666666666666667,46.666666666666664
rand_4,22,11.0,0.4782608695652174,0.4782608695652174,47.82608695652174
rand_5,25,13.0,0.48148148148148145,0.48148148148148145,48.148148148148145
rand_6,15,7.0,0.4666666666666667,0.4666666666666667,46.666666666666664
rand_7,13,7.0,0.5384615384615384,0.5384615384615384,53.84615384615385
rand_8,50,21.0,0.42,0.42,42.0
rand_9,28,12.0,0.42857142857142855,0.42857142857142855,42.857142857142854
rand_10,39,16.0,0.41025641025641024,0.41025641025641024,41.02564102564102
rand_11,43,20.0,0.4444444444444444,0.4444444444444444,44.44444444444444
rand_12,25,11.0,0.44,0.44,44.0
rand_13,19,10.0,0.5,0.5,50.0
rand_14,24,11.0,0.4583333333333333,0.4583333333333333,45.83333333333333
rand_15,10,5.0,0.5,0.5,50.0
rand_16,35,15.0,0.42857142857142855,0.42857142857142855,42.857142857142854
rand_17,15,7.0,0.4666666666666667,0.4666666666666667,46.666666666666664
rand_18,15,8.0,0.47058823529411764,0.47058823529411764,47.05882352941176
rand_19,18,9.0,0.5,0.5,50.0
rand_20,26,12.0,0.46153846153846156,0.46153846153846156,46.15384615384615
rand_21,44,18.0,0.4090909090909091,0.4090909090909091,40.909090909090914
rand_22,31,14.0,0.45161290322580644,0.45161290322580644,45.16129032258064
rand_23,40,16.0,0.4,0.4,40.0
rand_24,25,11.0,0.44,0.44,44.0
rand_25,25,11.0,0.44,0.44,44.0
rand_26,49,20.0,0.40816326530612246,0.40816326530612246,40.816326530612244
rand_27,43,18.0,0.4186046511627907,0.4186046511627907,41.86046511627907
rand_28,45,18.0,0.4,0.4,40.0
rand_29,16,8.0,0.5,0.5,50.0
rand_30,28,13.0,0.4642857142857143,0.4642857142857143,46.42857142857143
rand_31,35,15.0,0.42857142857142855,0.42857142857142855,42.857142857142854
rand_32,38,17.0,0.37777777777777777,0.37777777777777777,37.77777777777778
rand_33,35,15.0,0.4166666666666667,0.4166666666666667,41.66666666666667
rand_34,33,15.0,0.45454545454545453,0.45454545454545453,45.45454545454545
rand_35,30,15.0,0.4166666666666667,0.4166666666666667,41.66666666666667
rand_36,35,15.0,0.39473684210526316,0.39473684210526316,39.473684210526315
rand_37,13,7.0,0.5384615384615384,0.5384615384615384,53.84615384615385
rand_38,49,19.0,0.3877551020408163,0.3877551020408163,38.775510204081634
rand_39,14,7.0,0.5,0.5,50.0
rand_40,28,12.0,0.42857142857142855,0.42857142857142855,42.857142857142854
rand_41,12,7.0,0.5833333333333334,0.5833333333333334,58.333333333333336
rand_42,20,10.0,0.47619047619047616,0.47619047619047616,47.61904761904761
rand_43,40,17.0,0.425,0.425,42.5
rand_44,32,16.0,0.4444444444444444,0.4444444444444444,44.44444444444444
rand_45,46,19.0,0.41304347826086957,0.41304347826086957,41.30434782608695
rand_46,32,13.0,0.40625,0.40625,40.625
rand_47,27,13.0,0.4642857142857143,0.4642857142857143,46.42857142857143
rand_48,45,18.0,0.4,0.4,40.0
rand_49,17,9.0,0.5294117647058824,0.5294117647058824,52.94117647058824
rand_50,32,13.0,0.40625,0.40625,40.625
rand_51,32,15.0,0.46875,0.46875,46.875
