query_id,query_len,max_raw_score,max_norm_score_max_len_frac,max_norm_score_align_len_frac,max_similarity_percent
seq_rank_1,32,18.0,0.5454545454545454,0.5454545454545454,54.54545454545454
seq_rank_2,36,17.0,0.4594594594594595,0.4594594594594595,45.94594594594595
seq_rank_3,37,18.0,0.4864864864864865,0.4864864864864865,48.64864864864865
seq_rank_4,35,18.0,0.4864864864864865,0.4864864864864865,48.64864864864865
seq_rank_5,41,18.0,0.43902439024390244,0.43902439024390244,43.90243902439025
seq_rank_6,39,19.0,0.48717948717948717,0.48717948717948717,48.717948717948715
seq_rank_7,33,15.0,0.45454545454545453,0.45454545454545453,45.45454545454545
seq_rank_8,11,7.0,0.5833333333333334,0.5833333333333334,58.333333333333336
seq_rank_9,45,21.0,0.45652173913043476,0.45652173913043476,45.65217391304348
seq_rank_10,19,9.0,0.47368421052631576,0.47368421052631576,47.368421052631575
seq_rank_11,41,20.0,0.4878048780487805,0.4878048780487805,48.78048780487805
seq_rank_12,50,26.0,0.5,0.5,50.0
seq_rank_13,30,14.0,0.4666666666666667,0.4666666666666667,46.666666666666664
seq_rank_14,50,22.0,0.44,0.44,44.0
seq_rank_15,38,20.0,0.5263157894736842,0.5263157894736842,52.63157894736842
seq_rank_16,29,14.0,0.4666666666666667,0.4666666666666667,46.666666666666664
seq_rank_17,37,16.0,0.43243243243243246,0.43243243243243246,43.24324324324324
seq_rank_18,48,22.0,0.4583333333333333,0.4583333333333333,45.83333333333333
seq_rank_19,38,17.0,0.4473684210526316,0.4473684210526316,44.73684210526316
seq_rank_20,14,10.0,0.7142857142857143,0.7142857142857143,71.42857142857143
seq_rank_21,27,15.0,0.5,0.5,50.0
seq_rank_22,20,14.0,0.6666666666666666,0.6666666666666666,66.66666666666666
seq_rank_23,13,8.0,0.6153846153846154,0.6153846153846154,61.53846153846154
seq_rank_24,14,7.0,0.5,0.5,50.0
seq_rank_25,20,11.0,0.55,0.55,55.00000000000001
seq_rank_26,14,8.0,0.5714285714285714,0.5714285714285714,57.14285714285714
seq_rank_27,49,22.0,0.44,0.44,44.0
seq_rank_28,34,16.0,0.47058823529411764,0.47058823529411764,47.05882352941176
seq_rank_29,11,6.0,0.5454545454545454,0.5454545454545454,54.54545454545454
seq_rank_30,14,8.0,0.5333333333333333,0.5333333333333333,53.333333333333336
seq_rank_31,45,19.0,0.4222222222222222,0.4222222222222222,42.22222222222222
seq_rank_32,24,11.0,0.4583333333333333,0.4583333333333333,45.83333333333333
seq_rank_33,11,7.0,0.5833333333333334,0.5833333333333334,58.333333333333336
seq_rank_34,12,9.0,0.75,0.75,75.0
seq_rank_35,13,7.0,0.5,0.5,50.0
seq_rank_36,17,9.0,0.5294117647058824,0.5294117647058824,52.94117647058824
seq_rank_37,13,7.0,0.5384615384615384,0.5384615384615384,53.84615384615385
seq_rank_38,17,9.0,0.5294117647058824,0.5294117647058824,52.94117647058824
seq_rank_39,11,6.0,0.5454545454545454,0.5454545454545454,54.54545454545454
seq_rank_40,29,16.0,0.5517241379310345,0.5517241379310345,55.172413793103445
seq_rank_41,11,7.0,0.6363636363636364,0.6363636363636364,63.63636363636363
seq_rank_42,19,11.0,0.5789473684210527,0.5789473684210527,57.89473684210527
seq_rank_43,13,9.0,0.6,0.6,60.0
seq_rank_44,22,13.0,0.5909090909090909,0.5909090909090909,59.09090909090909
seq_rank_45,47,20.0,0.4,0.4,40.0
seq_rank_46,16,8.0,0.5,0.5,50.0
seq_rank_47,31,16.0,0.5161290322580645,0.5161290322580645,51.61290322580645
seq_rank_48,12,7.0,0.5833333333333334,0.5833333333333334,58.333333333333336
seq_rank_49,49,21.0,0.42,0.42,42.0
seq_rank_50,29,14.0,0.4827586206896552,0.4827586206896552,48.275862068965516
seq_rank_51,19,12.0,0.631578947368421,0.631578947368421,63.1578947368421
seq_rank_52,16,9.0,0.5625,0.5625,56.25
seq_rank_53,14,9.0,0.6,0.6,60.0
seq_rank_54,20,12.0,0.6,0.6,60.0
seq_rank_55,32,20.0,0.625,0.625,62.5
seq_rank_56,25,13.0,0.5,0.5,50.0
seq_rank_57,49,22.0,0.4230769230769231,0.4230769230769231,42.30769230769231
seq_rank_58,12,6.0,0.5,0.5,50.0
seq_rank_59,28,15.0,0.5172413793103449,0.5172413793103449,51.724137931034484
seq_rank_60,26,13.0,0.4482758620689655,0.4482758620689655,44.827586206896555
seq_rank_61,25,14.0,0.4827586206896552,0.4827586206896552,48.275862068965516
seq_rank_62,27,12.0,0.4444444444444444,0.4444444444444444,44.44444444444444
