query_id,query_len,max_raw_score,max_norm_score_max_len_frac,max_norm_score_align_len_frac,max_similarity_percent
seq_rank_1,45,21.0,0.4666666666666667,0.4666666666666667,46.666666666666664
seq_rank_2,48,22.0,0.44,0.44,44.0
seq_rank_3,32,16.0,0.5,0.5,50.0
seq_rank_4,32,16.0,0.48484848484848486,0.48484848484848486,48.484848484848484
seq_rank_5,31,15.0,0.45454545454545453,0.45454545454545453,45.45454545454545
seq_rank_6,37,18.0,0.4864864864864865,0.4864864864864865,48.64864864864865
seq_rank_7,49,22.0,0.4489795918367347,0.4489795918367347,44.89795918367347
seq_rank_8,35,19.0,0.5,0.5,50.0
seq_rank_9,48,21.0,0.4375,0.4375,43.75
seq_rank_10,23,11.0,0.4782608695652174,0.4782608695652174,47.82608695652174
seq_rank_11,40,21.0,0.525,0.525,52.5
seq_rank_12,49,21.0,0.42857142857142855,0.42857142857142855,42.857142857142854
seq_rank_13,36,17.0,0.4722222222222222,0.4722222222222222,47.22222222222222
seq_rank_14,41,21.0,0.5121951219512195,0.5121951219512195,51.21951219512195
seq_rank_15,29,15.0,0.4838709677419355,0.4838709677419355,48.38709677419355
seq_rank_16,45,21.0,0.4666666666666667,0.4666666666666667,46.666666666666664
seq_rank_17,18,9.0,0.5,0.5,50.0
seq_rank_18,11,7.0,0.5833333333333334,0.5833333333333334,58.333333333333336
seq_rank_19,28,14.0,0.5,0.5,50.0
seq_rank_20,34,16.0,0.47058823529411764,0.47058823529411764,47.05882352941176
seq_rank_21,37,17.0,0.4594594594594595,0.4594594594594595,45.94594594594595
seq_rank_22,19,10.0,0.5263157894736842,0.5263157894736842,52.63157894736842
seq_rank_23,15,10.0,0.5,0.5,50.0
seq_rank_24,28,14.0,0.5,0.5,50.0
seq_rank_25,24,12.0,0.5,0.5,50.0
seq_rank_26,40,20.0,0.5,0.5,50.0
seq_rank_27,23,13.0,0.5652173913043478,0.5652173913043478,56.52173913043478
seq_rank_28,48,21.0,0.4375,0.4375,43.75
seq_rank_29,45,23.0,0.4423076923076923,0.4423076923076923,44.230769230769226
seq_rank_30,47,23.0,0.48936170212765956,0.48936170212765956,48.93617021276596
seq_rank_31,48,24.0,0.46153846153846156,0.46153846153846156,46.15384615384615
seq_rank_32,45,23.0,0.5111111111111111,0.5111111111111111,51.11111111111111
seq_rank_33,50,23.0,0.4423076923076923,0.4423076923076923,44.230769230769226
seq_rank_34,40,20.0,0.5,0.5,50.0
seq_rank_35,48,26.0,0.5,0.5,50.0
seq_rank_36,40,19.0,0.475,0.475,47.5
seq_rank_37,43,21.0,0.4883720930232558,0.4883720930232558,48.837209302325576
seq_rank_38,47,21.0,0.44680851063829785,0.44680851063829785,44.680851063829785
seq_rank_39,45,24.0,0.5333333333333333,0.5333333333333333,53.333333333333336
seq_rank_40,49,23.0,0.4423076923076923,0.4423076923076923,44.230769230769226
seq_rank_41,43,20.0,0.46511627906976744,0.46511627906976744,46.51162790697674
