Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
sequence_1,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_10,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_100,0.075,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_101,0.305,0.0,0.0,0.305,Non-Toxin,0.242
sequence_102,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_103,0.265,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_104,0.305,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_105,0.255,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_106,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_107,0.295,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_108,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_109,0.255,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_11,0.265,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_110,0.31,0.0,0.0,0.31,Non-Toxin,0.249
sequence_111,0.215,0.0,0.0,0.215,Non-Toxin,0.124
sequence_112,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_113,0.325,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_114,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_115,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_116,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_117,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_118,0.615,0.0,0.0,0.615,Toxin,0.647
sequence_119,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_12,0.415,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_120,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_121,0.27,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_122,0.305,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_123,0.39,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_124,0.15,0.0,0.0,0.15,Non-Toxin,0.039
sequence_125,0.335,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_126,0.34,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_127,0.28,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_128,0.31,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_129,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_13,0.495,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_130,0.075,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_131,0.07,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_132,0.45,0.0,0.0,0.45,Toxin,0.432
sequence_133,0.23,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_134,0.35,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_135,0.32,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_136,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_137,0.175,0.0,0.0,0.175,Non-Toxin,0.072
sequence_138,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_139,0.315,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_14,0.225,0.0,0.0,0.225,Non-Toxin,0.137
sequence_140,0.23,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_141,0.26,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_142,0.09,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_143,0.075,0.0,-0.5,0.0,Non-Toxin,0.0
sequence_144,0.19,0.0,0.0,0.19,Non-Toxin,0.092
sequence_145,0.255,0.0,0.0,0.255,Non-Toxin,0.177
sequence_146,0.295,0.0,0.0,0.295,Non-Toxin,0.229
sequence_147,0.225,0.0,0.0,0.225,Non-Toxin,0.137
sequence_148,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
