design_id,boltz2_iptm,boltz2_ptm,boltz2_plddt,boltz2_affinity_pred_value,boltz2_affinity_prob_binary
KPC3_030,0.34268879890441895,0.8982346057891846,0.8606571555137634,,
KPC3_030_1,0.6114687919616699,0.9279828667640686,0.8708082437515259,,
KPC3_035,0.6277525424957275,0.9082268476486206,0.8594049215316772,,
KPC3_037,0.5627223253250122,0.9108530282974243,0.8701842427253723,,
KPC3_058_1,0.47676005959510803,0.879443347454071,0.8307415246963501,,
KPC3_064,0.5967504978179932,0.8839910626411438,0.8503091931343079,,
KPC3_072_1,0.6916682720184326,0.9407916069030762,0.8930196166038513,,
KPC3_077_0,0.805296003818512,0.9548590183258057,0.8956878781318665,,
KPC3_077_1,0.6631800532341003,0.9397766590118408,0.9058531522750854,,
KPC3_086_1,0.5827639698982239,0.9210455417633057,0.9086153507232666,,
KPC3_097_0,0.7244166135787964,0.9508454203605652,0.9285845756530762,,
KPC3_097_1,0.5704653859138489,0.9458847045898438,0.9240370988845825,,
KPC3_100,0.40513521432876587,0.8778017163276672,0.8715814352035522,,
KPC3_102,0.7001897096633911,0.9258139133453369,0.8443537354469299,,
KPC3_105,0.5337079167366028,0.8777027726173401,0.8572321534156799,,
KPC3_108_1,0.4695374369621277,0.8716344237327576,0.8615724444389343,,
KPC3_115,0.8233752846717834,0.9278899431228638,0.863375186920166,,
KPC3_117,0.7253037691116333,0.8963594436645508,0.8664854168891907,,
KPC3_120,0.625725507736206,0.904249906539917,0.8617720603942871,,
KPC3_120_0,0.4506579041481018,0.8899961709976196,0.8502345681190491,,
KPC3_120_1,0.4690778851509094,0.8773660063743591,0.8444958925247192,,
KPC3_123,0.43866708874702454,0.8168410658836365,0.856830894947052,,
KPC3_128,0.7274433970451355,0.927577793598175,0.8483646512031555,,
KPC3_135_1,0.4655037522315979,0.9262526631355286,0.9004426598548889,,
KPC3_139_1,0.4326689541339874,0.924079179763794,0.90752112865448,,
KPC3_140,0.4374954402446747,0.8787710666656494,0.861520528793335,,
KPC3_140_0,0.4744338393211365,0.8746716976165771,0.8752353191375732,,
KPC3_144,0.3252364993095398,0.8880027532577515,0.8632002472877502,,
KPC3_153,0.3274635970592499,0.8602514863014221,0.8578836917877197,,
KPC3_154_0,0.5306876301765442,0.9073342084884644,0.8667431473731995,,
KPC3_155_1,0.627511739730835,0.9171871542930603,0.8664054870605469,,
KPC3_160,0.4928481876850128,0.9001390337944031,0.8693455457687378,,
KPC3_160_1,0.4092828035354614,0.8842291235923767,0.8676124811172485,,
KPC3_163_0,0.4799005091190338,0.8927971124649048,0.8688747882843018,,
KPC3_170_0,0.5879969000816345,0.9277427792549133,0.8755170106887817,,
KPC3_170_1,0.5877958536148071,0.9232814311981201,0.8764961361885071,,
KPC3_173_1,0.48040005564689636,0.919910728931427,0.8732001781463623,,
KPC3_180_0,0.4527263343334198,0.8672292232513428,0.8399608731269836,,
KPC3_198_1,0.7063785791397095,0.9232516288757324,0.8932747840881348,,
KPC3_200_0,0.5085947513580322,0.8933069109916687,0.8497163653373718,,
KPC3_200_1,0.4409274160861969,0.8904489874839783,0.8559198975563049,,
KPC3_201_0,0.29155534505844116,0.8727889657020569,0.8472715020179749,,
KPC3_204,0.5416424870491028,0.8878840804100037,0.8516630530357361,,
KPC3_204_0,0.4733074903488159,0.8950008749961853,0.869697630405426,,
KPC3_204_1,0.39038601517677307,0.8861914277076721,0.8512817621231079,,
KPC3_215_0,0.40584227442741394,0.901522696018219,0.8678854703903198,,
KPC3_215_1,0.6922743916511536,0.9234928488731384,0.8859776854515076,,
KPC3_217_1,0.5272321701049805,0.8749758005142212,0.8783302307128906,,
KPC3_230,0.7101311087608337,0.9311734437942505,0.8944869637489319,,
KPC3_232_1,0.40955284237861633,0.8912427425384521,0.8692870736122131,,
KPC3_234,0.6153829097747803,0.9288572669029236,0.8899405598640442,,
KPC3_234_0,0.5886731147766113,0.9172407388687134,0.8792849779129028,,
KPC3_234_1,0.6629184484481812,0.9205516576766968,0.8789809942245483,,
KPC3_237_0,0.615559458732605,0.9287726283073425,0.8722398281097412,,
KPC3_245_1,0.644220232963562,0.856023371219635,0.874056339263916,,
KPC3_247,0.4049450755119324,0.8831895589828491,0.8731595277786255,,
KPC3_260,0.7970825433731079,0.9461301565170288,0.8696674704551697,,
KPC3_263,0.6986922025680542,0.9325708150863647,0.8792241215705872,,
KPC3_273_0,0.6666696071624756,0.9381076097488403,0.885945737361908,,
KPC3_273_1,0.5988543033599854,0.9306056499481201,0.8763123750686646,,
KPC3_274,0.4379725754261017,0.8906115293502808,0.883557140827179,,
KPC3_274_0,0.5690634250640869,0.9211258292198181,0.8743586540222168,,
KPC3_277,0.5618319511413574,0.900012731552124,0.869608998298645,,
KPC3_278,0.34923863410949707,0.8897340893745422,0.8831244111061096,,
KPC3_292_0,0.6677604913711548,0.9126881957054138,0.8324760794639587,,
KPC3_299_0,0.5487127900123596,0.8934525847434998,0.8411337733268738,,
KPC3_300_0,0.6566517949104309,0.9271134734153748,0.8656461238861084,,
KPC3_300_1,0.6832678318023682,0.9234042167663574,0.8545422554016113,,
KPC3_306,0.44244155287742615,0.9016192555427551,0.8828716278076172,,
KPC3_316_1,0.4220845103263855,0.8344747424125671,0.8342483639717102,,
KPC3_330_0,0.4604477286338806,0.8978497385978699,0.8422355651855469,,
KPC3_333,0.37709861993789673,0.8807981610298157,0.8510332703590393,,
KPC3_354,0.8161986470222473,0.9328625202178955,0.8782967329025269,,
KPC3_357,0.5100733637809753,0.8931369781494141,0.8515974879264832,,
KPC3_360,0.8022903203964233,0.9358667135238647,0.8653501868247986,,
